t,P,Q
22.05,14.657401246303445,23.510289303903626
22.1,13.78565282030852,23.00567622449649
22.150000000000002,13.000488220633134,22.442103367549006
22.200000000000003,12.296147739606258,21.83132071658028
22.25,11.666649465593967,21.184154177331237
22.3,11.106036052592561,20.510390799299515
22.35,10.608548600714121,19.81873319040351
22.400000000000002,10.168741578475464,19.116805443099206
22.450000000000003,9.781551969564008,18.411195256790787
22.5,9.442334200856468,17.707519718464095
22.55,9.146870450277195,17.01050494529974
22.6,8.89136398050085,16.32407225299712
22.650000000000002,8.67242138095038,15.651425584411177
22.700000000000003,8.487028105174316,14.995136595538822
22.75,8.332520478620038,14.357225079821614
22.8,8.206556403026392,13.739233370020962
22.85,8.10708626203192,13.142294049001412
22.900000000000002,8.032324997498067,12.56719078344012
22.950000000000003,7.980725938661477,12.014412417548503
23.0,7.950956692544933,11.484200668596491
23.05,7.9418772158538875,10.97659188521816
23.1,7.9525200633261095,10.491453388515865
23.150000000000002,7.982072727690191,10.02851493396965
23.200000000000003,8.029861938747391,9.587395823168057
23.25,8.095339763733737,9.167628168555577
23.3,8.178071340804744,8.768676778910022
23.35,8.277724076992007,8.389956093070609
23.400000000000002,8.394058147601143,8.030844547859502
23.450000000000003,8.52691814316187,7.690696725332582
23.5,8.67622572092354,7.3688535857884245
23.55,8.841973129315612,7.064651057112705
23.6,9.024217484977163,6.77742721840263
23.650000000000002,9.223075692404626,6.506528286508313
23.700000000000003,9.438719905670604,6.2513135880864965
23.75,9.67137343985777,6.011159676828445
23.8,9.92130704674348,5.785463735486328
23.85,10.188835474826515,5.573646384945027
23.900000000000002,10.47431423799842,5.3751540076300035
23.950000000000003,10.77813652003052,5.189460679776562
24.0,11.100730143575307,5.01606979629891
24.05,11.442554532560676,4.854515462997506
24.1,11.804097595665718,4.704363723462983
24.150000000000002,12.18587245596735,4.565213682131372
24.200000000000003,12.588413947775607,4.43669858039958
24.25,13.012274796045523,4.318486879426515
24.3,13.458021386452168,4.210283401150333
24.35,13.926229025102113,4.111830578092478
24.400000000000002,14.417476575760798,4.022909862659298
24.450000000000003,14.932340349204242,3.9433433478720907
24.5,15.471387103633038,3.872995653748299
24.55,16.035165996772466,3.8117761369190317
24.6,16.624199309067315,3.7596414854996913
24.650000000000002,17.238971733005425,3.7165987667200326
